Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
1551,0,1.00,-8.00,-1.9858156,0.11267039,0.016656960,0.99484204
1561,0,1.00,-8.00,-1.9859065,0.11195373,0.016550931,0.99487508
1571,0,1.00,-8.00,-1.9859962,0.11124613,0.016446242,0.99490770
1581,0,1.00,-8.00,-1.9860848,0.11054741,0.016342870,0.99493991
1591,0,1.00,-8.00,-1.9861722,0.10985742,0.016240789,0.99497172
1601,0,1.00,-8.00,-1.9862586,0.10917599,0.016139975,0.99500312
1611,0,1.00,-8.00,-1.9863439,0.10850296,0.016040405,0.99503414
1621,0,1.00,-8.00,-1.9864281,0.10783817,0.015942056,0.99506477
1631,0,1.00,-8.00,-1.9865113,0.10718148,0.015844906,0.99509503
1641,0,1.00,-8.00,-1.9865935,0.10653274,0.015748932,0.99512492
1651,0,1.00,-8.00,-1.9866747,0.10589181,0.015654114,0.99515445
1661,0,1.00,-8.00,-1.9867550,0.10525854,0.015560431,0.99518362
1671,0,1.00,-8.00,-1.9868342,0.10463280,0.015467863,0.99521245
1681,0,1.00,-8.00,-1.9869126,0.10401446,0.015376389,0.99524093
1691,0,1.00,-8.00,-1.9869899,0.10340338,0.015285991,0.99526907
1701,0,1.00,-8.00,-1.9870664,0.10279944,0.015196649,0.99529688
1711,0,1.00,-8.00,-1.9871420,0.10220251,0.015108346,0.99532437
1721,0,1.00,-8.00,-1.9872167,0.10161248,0.015021063,0.99535154
1731,0,1.00,-8.00,-1.9872906,0.10102922,0.014934783,0.99537839
1741,0,1.00,-8.00,-1.9873636,0.10045261,0.014849488,0.99540494
1751,0,1.00,-8.00,-1.9874358,0.099882551,0.014765162,0.99543118
1761,0,1.00,-8.00,-1.9875071,0.099318924,0.014681788,0.99545713
1771,0,1.00,-8.00,-1.9875776,0.098761622,0.014599350,0.99548278
1781,0,1.00,-8.00,-1.9876474,0.098210539,0.014517833,0.99550814
1791,0,1.00,-8.00,-1.9877164,0.097665572,0.014437221,0.99553322
1801,0,1.00,-8.00,-1.9877846,0.097126619,0.014357500,0.99555802
1811,0,1.00,-8.00,-1.9878520,0.096593582,0.014278654,0.99558255
1821,0,1.00,-8.00,-1.9879187,0.096066363,0.014200669,0.99560681
1831,0,1.00,-8.00,-1.9879847,0.095544869,0.014123531,0.99563080
1841,0,1.00,-8.00,-1.9880500,0.095029005,0.014047227,0.99565454
1851,0,1.00,-8.00,-1.9881145,0.094518681,0.013971743,0.99567801
1861,0,1.00,-8.00,-1.9881784,0.094013809,0.013897066,0.99570124
1871,0,1.00,-8.00,-1.9882416,0.093514302,0.013823183,0.99572421
1881,0,1.00,-8.00,-1.9883041,0.093020075,0.013750081,0.99574694
1891,0,1.00,-8.00,-1.9883659,0.092531043,0.013677748,0.99576943
1901,0,1.00,-8.00,-1.9884271,0.092047127,0.013606173,0.99579169
1911,0,1.00,-8.00,-1.9884877,0.091568246,0.013535342,0.99581371
1921,0,1.00,-8.00,-1.9885476,0.091094321,0.013465245,0.99583550
1931,0,1.00,-8.00,-1.9886069,0.090625277,0.013395871,0.99585707
1941,0,1.00,-8.00,-1.9886656,0.090161039,0.013327207,0.99587841
1951,0,1.00,-8.00,-1.9887237,0.089701532,0.013259244,0.99589954
1961,0,1.00,-8.00,-1.9887812,0.089246685,0.013191971,0.99592045
1971,0,1.00,-8.00,-1.9888382,0.088796427,0.013125376,0.99594115
1981,0,1.00,-8.00,-1.9888945,0.088350689,0.013059451,0.99596164
1991,0,1.00,-8.00,-1.9889503,0.087909404,0.012994185,0.99598192
2001,0,1.00,-8.00,-1.9890055,0.087472506,0.012929567,0.99600200
2011,0,1.00,-8.00,-1.9890602,0.087039928,0.012865589,0.99602188
2021,0,1.00,-8.00,-1.9891143,0.086611607,0.012802241,0.99604156
2031,0,1.00,-8.00,-1.9891679,0.086187482,0.012739514,0.99606105
2041,0,1.00,-8.00,-1.9892210,0.085767489,0.012677399,0.99608035
2051,0,1.00,-8.00,-1.9892735,0.085351570,0.012615886,0.99609946
2061,0,1.00,-8.00,-1.9893256,0.084939665,0.012554968,0.99611839
2071,0,1.00,-8.00,-1.9893771,0.084531717,0.012494635,0.99613713
2081,0,1.00,-8.00,-1.9894282,0.084127668,0.012434879,0.99615569
2091,0,1.00,-8.00,-1.9894787,0.083727464,0.012375691,0.99617408
2101,0,1.00,-8.00,-1.9895288,0.083331049,0.012317065,0.99619229
2111,0,1.00,-8.00,-1.9895784,0.082938370,0.012258991,0.99621033
2121,0,1.00,-8.00,-1.9896275,0.082549374,0.012201463,0.99622819
2131,4,1.00,-8.00,-1.9849836,0.11922942,0.015848370,0.99483810
2141,0,1.00,-8.00,-1.9850537,0.11867673,0.015774842,0.99486221
2151,0,1.00,-8.00,-1.9851232,0.11812914,0.015701994,0.99488610
2161,0,1.00,-8.00,-1.9851920,0.11758657,0.015629815,0.99490976
2171,0,1.00,-8.00,-1.9852602,0.11704897,0.015558296,0.99493321
2181,0,1.00,-8.00,-1.9853278,0.11651626,0.015487429,0.99495644
2191,0,1.00,-8.00,-1.9853948,0.11598838,0.015417205,0.99497946
2201,0,1.00,-8.00,-1.9854612,0.11546526,0.015347615,0.99500227
2211,0,1.00,-8.00,-1.9855269,0.11494683,0.015278650,0.99502488
2221,0,1.00,-8.00,-1.9855921,0.11443304,0.015210302,0.99504728
2231,0,1.00,-8.00,-1.9856567,0.11392382,0.015142562,0.99506948
2241,0,1.00,-8.00,-1.9857207,0.11341912,0.015075424,0.99509148
2251,0,1.00,-8.00,-1.9848956,0.11992261,0.015444244,0.99489116
2261,0,1.00,-8.00,-1.9849624,0.11939623,0.015376397,0.99491375
2271,0,1.00,-8.00,-1.9850286,0.11887446,0.015309143,0.99493615
2281,0,1.00,-8.00,-1.9850943,0.11835722,0.015242474,0.99495835
2291,0,1.00,-8.00,-1.9851593,0.11784446,0.015176384,0.99498036
2301,0,1.00,-8.00,-1.9852238,0.11733613,0.015110865,0.99500217
2311,0,1.00,-8.00,-1.9852878,0.11683217,0.015045909,0.99502380
2321,0,1.00,-8.00,-1.9853511,0.11633251,0.014981508,0.99504524
2331,0,1.00,-8.00,-1.9854140,0.11583711,0.014917657,0.99506650
2341,0,1.00,-8.00,-1.9854763,0.11534591,0.014854348,0.99508757
2351,0,1.00,-8.00,-1.9855381,0.11485886,0.014791574,0.99510846
2361,0,1.00,-8.00,-1.9855993,0.11437590,0.014729328,0.99512918
2371,0,1.00,-8.00,-1.9856601,0.11389699,0.014667603,0.99514973
2381,0,1.00,-8.00,-1.9857203,0.11342207,0.014606394,0.99517010
2391,0,1.00,-8.00,-1.9857800,0.11295110,0.014545694,0.99519030
2401,0,1.00,-8.00,-1.9858392,0.11248402,0.014485496,0.99521033
2411,0,1.00,-8.00,-1.9858980,0.11202079,0.014425794,0.99523019
2421,0,1.00,-8.00,-1.9859562,0.11156136,0.014366582,0.99524990
2431,0,1.00,-8.00,-1.9860140,0.11110568,0.014307854,0.99526944
2441,3,1.00,-8.00,-1.9844326,0.12356975,0.016273275,0.99467431
2451,0,1.00,-8.00,-1.9844961,0.12306953,0.016207342,0.99469604
2461,0,1.00,-8.00,-1.9845591,0.12257334,0.016141940,0.99471759
2471,0,1.00,-8.00,-1.9846216,0.12208114,0.016077065,0.99473897
2481,0,1.00,-8.00,-1.9846836,0.12159287,0.016012708,0.99476018
2491,0,1.00,-8.00,-1.9847451,0.12110849,0.015948865,0.99478121
2501,0,1.00,-8.00,-1.9848061,0.12062796,0.015885529,0.99480208
2511,0,1.00,-8.00,-1.9848666,0.12015122,0.015822694,0.99482278
2521,0,1.00,-8.00,-1.9849266,0.11967824,0.015760354,0.99484332
2531,0,1.00,-8.00,-1.9849862,0.11920897,0.015698503,0.99486369
2541,0,1.00,-8.00,-1.9850453,0.11874336,0.015637136,0.99488390
2551,0,1.00,-8.00,-1.9851039,0.11828138,0.015576247,0.99490396
2561,0,1.00,-8.00,-1.9851620,0.11782297,0.015515830,0.99492386
2571,0,1.00,-8.00,-1.9852198,0.11736811,0.015455880,0.99494360
2581,0,1.00,-8.00,-1.9852770,0.11691674,0.015396391,0.99496319
2591,0,1.00,-8.00,-1.9853338,0.11646883,0.015337359,0.99498263
2601,0,1.00,-8.00,-1.9853902,0.11602434,0.015278777,0.99500192
2611,0,1.00,-8.00,-1.9854462,0.11558323,0.015220642,0.99502106
2621,0,1.00,-8.00,-1.9847386,0.12115917,0.015536765,0.99484929
2631,0,1.00,-8.00,-1.9847967,0.12070219,0.015478114,0.99486887
2641,0,1.00,-8.00,-1.9848542,0.12024865,0.015419905,0.99488830
2651,0,1.00,-8.00,-1.9849114,0.11979850,0.015362131,0.99490758
2661,0,1.00,-8.00,-1.9849681,0.11935171,0.015304789,0.99492672
2671,0,1.00,-8.00,-1.9850243,0.11890823,0.015247873,0.99494571
2681,0,1.00,-8.00,-1.9850802,0.11846805,0.015191379,0.99496457
2691,0,1.00,-8.00,-1.9851356,0.11803110,0.015135302,0.99498328
2701,0,1.00,-8.00,-1.9851907,0.11759737,0.015079637,0.99500185
2711,0,1.00,-8.00,-1.9852453,0.11716682,0.015024381,0.99502029
2721,0,1.00,-8.00,-1.9852995,0.11673941,0.014969527,0.99503859
2731,0,1.00,-8.00,-1.9853534,0.11631510,0.014915073,0.99505676
2741,0,1.00,-8.00,-1.9854068,0.11589387,0.014861014,0.99507479
2751,0,1.00,-8.00,-1.9854598,0.11547567,0.014807345,0.99509269
2761,0,1.00,-8.00,-1.9855125,0.11506049,0.014754062,0.99511047
2771,0,1.00,-8.00,-1.9855648,0.11464827,0.014701161,0.99512811
2781,0,1.00,-8.00,-1.9856167,0.11423900,0.014648639,0.99514563
2791,0,1.00,-8.00,-1.9856682,0.11383265,0.014596490,0.99516302
2801,0,1.00,-8.00,-1.9857194,0.11342917,0.014544711,0.99518029
2811,0,1.00,-8.00,-1.9857702,0.11302854,0.014493298,0.99519744
2821,0,1.00,-8.00,-1.9858206,0.11263073,0.014442248,0.99521446
2831,0,1.00,-8.00,-1.9858707,0.11223572,0.014391556,0.99523137
2841,0,1.00,-8.00,-1.9859205,0.11184346,0.014341218,0.99524815
2851,0,1.00,-8.00,-1.9859698,0.11145394,0.014291231,0.99526482
2861,0,1.00,-8.00,-1.9860189,0.11106712,0.014241592,0.99528137
2871,0,1.00,-8.00,-1.9860676,0.11068297,0.014192296,0.99529781
2881,0,1.00,-8.00,-1.9861159,0.11030147,0.014143340,0.99531413
2891,0,1.00,-8.00,-1.9861640,0.10992260,0.014094721,0.99533034
2901,0,1.00,-8.00,-1.9862117,0.10954632,0.014046435,0.99534643
2911,0,1.00,-8.00,-1.9862590,0.10917260,0.013998478,0.99536242
2921,0,1.00,-8.00,-1.9863061,0.10880143,0.013950848,0.99537830
2931,0,1.00,-8.00,-1.9863528,0.10843277,0.013903541,0.99539406
