rho,eigenvals,eigenvec
3.025,4237.84,0.103659
3.05,4285.26,0.103458
3.075,4332.42,0.103224
3.1,4379.3,0.102957
3.125,4425.89,0.102657
3.15,4472.17,0.102323
3.175,4518.14,0.101956
3.2,4563.79,0.101556
3.225,4609.1,0.101122
3.25,4654.06,0.100654
3.275,4698.67,0.100154
3.3,4742.9,0.0996192
3.325,4786.75,0.0990514
3.35,4830.22,0.0984503
3.375,4873.28,0.0978159
3.4,4915.93,0.0971482
3.425,4958.15,0.0964475
3.45,4999.94,0.0957137
3.475,5041.29,0.0949471
3.5,5082.19,0.0941477
3.525,5122.61,0.0933157
3.55,5162.57,0.0924513
3.575,5202.04,0.0915547
3.6,5241.02,0.090626
3.625,5279.49,0.0896656
3.65,5317.46,0.0886735
3.675,5354.89,0.0876501
3.7,5391.8,0.0865957
3.725,5428.17,0.0855104
3.75,5463.99,0.0843946
3.775,5499.25,0.0832487
3.8,5533.94,0.0820728
3.825,5568.06,0.0808674
3.85,5601.59,0.0796327
3.875,5634.53,0.0783693
3.9,5666.87,0.0770773
3.925,5698.6,0.0757573
3.95,5729.71,0.0744096
3.975,5760.2,0.0730347
4,5790.06,0.0716329
4.025,5819.28,0.0702048
4.05,5847.86,0.0687508
4.075,5875.78,0.0672713
4.1,5903.04,0.0657668
4.125,5929.63,0.0642379
4.15,5955.55,0.062685
4.175,5980.8,0.0611087
4.2,6005.35,0.0595095
4.225,6029.21,0.0578879
4.25,6052.38,0.0562446
4.275,6074.84,0.05458
4.3,6096.59,0.0528948
4.325,6117.63,0.0511896
4.35,6137.95,0.0494649
4.375,6157.54,0.0477214
4.4,6176.4,0.0459596
4.425,6194.53,0.0441804
4.45,6211.92,0.0423842
4.475,6228.56,0.0405717
4.5,6244.46,0.0387436
4.525,6259.61,0.0369006
4.55,6274,0.0350434
4.575,6287.63,0.0331726
4.6,6300.5,0.0312889
4.625,6312.61,0.0293931
4.65,6323.95,0.0274859
4.675,6334.51,0.0255679
4.7,6344.3,0.02364
4.725,6353.31,0.0217028
4.75,6361.55,0.0197571
4.775,6369,0.0178037
4.8,6375.67,0.0158432
4.825,6381.55,0.0138766
4.85,6386.65,0.0119044
4.875,6390.95,0.00992757
4.9,6394.46,0.00794679
4.925,6397.17,0.00596285
4.95,6399.07,0.00397655
4.975,6400.17,0.00198867
