rho,eigenvals,analytic_eigenvals,eigenvec,analytic_eigenvec
0.335,40363.3,40361.1,0.0868632,0.0868603
0.34,41459.7,41457.5,0.0876307,0.0876279
0.345,42565.6,42563.4,0.0883766,0.0883738
0.35,43680.8,43678.4,0.0891007,0.0890979
0.355,44804.9,44802.5,0.0898028,0.0898
0.36,45937.7,45935.2,0.0904827,0.09048
0.365,47078.9,47076.4,0.0911403,0.0911376
0.37,48228.2,48225.7,0.0917755,0.0917727
0.375,49385.3,49382.8,0.092388,0.0923853
0.38,50550,50547.4,0.0929776,0.092975
0.385,51722,51719.3,0.0935444,0.0935418
0.39,52901,52898.2,0.0940881,0.0940855
0.395,54086.6,54083.8,0.0946085,0.094606
0.4,55278.6,55275.8,0.0951057,0.0951031
0.405,56476.8,56473.9,0.0955793,0.0955768
0.41,57680.7,57677.8,0.0960294,0.0960269
0.415,58890.2,58887.2,0.0964557,0.0964533
0.42,60104.8,60101.8,0.0968583,0.0968559
0.425,61324.4,61321.3,0.097237,0.0972346
0.43,62548.5,62545.4,0.0975917,0.0975894
0.435,63777,63773.9,0.0979223,0.09792
0.44,65009.5,65006.3,0.0982287,0.0982265
0.445,66245.7,66242.4,0.0985109,0.0985088
0.45,67485.2,67481.9,0.0987688,0.0987667
0.455,68727.9,68724.6,0.0990024,0.0990003
0.46,69973.3,69970,0.0992115,0.0992095
0.465,71221.3,71217.8,0.0993961,0.0993942
0.47,72471.3,72467.9,0.0995562,0.0995543
0.475,73723.3,73719.8,0.0996917,0.0996899
0.48,74976.8,74973.2,0.0998027,0.0998009
0.485,76231.5,76227.9,0.099889,0.0998873
0.49,77487.1,77483.5,0.0999507,0.099949
0.495,78743.4,78739.7,0.0999877,0.0999861
0.5,80000,79996.3,0.1,0.0999985
0.505,81256.6,81252.8,0.0999877,0.0999863
0.51,82512.9,82509.1,0.0999507,0.0999493
0.515,83768.5,83764.7,0.099889,0.0998877
0.52,85023.2,85019.4,0.0998027,0.0998015
0.525,86276.7,86272.8,0.0996917,0.0996906
0.53,87528.7,87524.8,0.0995562,0.0995552
0.535,88778.7,88774.8,0.0993961,0.0993952
0.54,90026.7,90022.7,0.0992115,0.0992106
0.545,91272.1,91268.1,0.0990024,0.0990016
0.55,92514.8,92510.7,0.0987688,0.0987682
0.555,93754.3,93750.3,0.0985109,0.0985104
0.56,94990.5,94986.4,0.0982287,0.0982282
0.565,96223,96218.9,0.0979223,0.0979219
0.57,97451.5,97447.3,0.0975917,0.0975914
0.575,98675.6,98671.5,0.097237,0.0972368
0.58,99895.2,99891,0.0968583,0.0968582
0.585,101110,101106,0.0964557,0.0964557
0.59,102319,102315,0.0960294,0.0960295
0.595,103523,103519,0.0955793,0.0955795
0.6,104721,104717,0.0951057,0.095106
0.605,105913,105909,0.0946085,0.094609
0.61,107099,107095,0.0940881,0.0940886
0.615,108278,108274,0.0935444,0.093545
0.62,109450,109446,0.0929776,0.0929784
0.625,110615,110610,0.092388,0.0923888
0.63,111772,111768,0.0917755,0.0917764
0.635,112921,112917,0.0911403,0.0911414
0.64,114062,114058,0.0904827,0.0904839
0.645,115195,115191,0.0898028,0.0898041
0.65,116319,116315,0.0891007,0.0891021
0.655,117434,117430,0.0883766,0.0883781
0.66,118540,118536,0.0876307,0.0876323
0.665,119637,119632,0.0868632,0.0868649
0.67,120723,120719,0.0860742,0.0860761
0.675,121800,121796,0.085264,0.085266
0.68,122866,122862,0.0844328,0.0844349
0.685,123922,123918,0.0835807,0.083583
0.69,124967,124962,0.0827081,0.0827104
0.695,126000,125996,0.081815,0.0818175
0.7,127023,127019,0.0809017,0.0809043
0.705,128034,128029,0.0799685,0.0799712
0.71,129033,129028,0.0790155,0.0790184
0.715,130019,130015,0.078043,0.078046
0.72,130994,130990,0.0770513,0.0770544
0.725,131956,131952,0.0760406,0.0760438
0.73,132905,132901,0.0750111,0.0750145
0.735,133841,133837,0.0739631,0.0739666
0.74,134764,134760,0.0728969,0.0729005
0.745,135673,135669,0.0718126,0.0718164
0.75,136569,136565,0.0707107,0.0707145
0.755,137450,137446,0.0695913,0.0695953
0.76,138317,138314,0.0684547,0.0684588
0.765,139170,139167,0.0673013,0.0673055
0.77,140009,140005,0.0661312,0.0661356
0.775,140832,140829,0.0649448,0.0649493
0.78,141641,141637,0.0637424,0.063747
0.785,142434,142431,0.0625243,0.062529
0.79,143212,143209,0.0612907,0.0612956
0.795,143975,143971,0.060042,0.060047
0.8,144721,144718,0.0587785,0.0587837
0.805,145452,145449,0.0575005,0.0575058
0.81,146166,146163,0.0562083,0.0562137
0.815,146865,146861,0.0549023,0.0549078
0.82,147546,147543,0.0535827,0.0535883
0.825,148211,148208,0.0522499,0.0522556
0.83,148859,148856,0.0509041,0.05091
0.835,149491,149487,0.0495459,0.0495519
0.84,150105,150102,0.0481754,0.0481815
0.845,150701,150698,0.046793,0.0467992
0.85,151281,151278,0.045399,0.0454054
0.855,151842,151839,0.0439939,0.0440004
0.86,152386,152383,0.0425779,0.0425845
0.865,152912,152910,0.0411514,0.0411581
0.87,153420,153418,0.0397148,0.0397216
0.875,153910,153908,0.0382683,0.0382753
0.88,154382,154380,0.0368125,0.0368195
0.885,154836,154833,0.0353475,0.0353546
0.89,155270,155268,0.0338738,0.0338811
0.895,155687,155685,0.0323917,0.0323991
0.9,156085,156082,0.0309017,0.0309092
0.905,156463,156461,0.029404,0.0294116
0.91,156823,156822,0.0278991,0.0279068
0.915,157165,157163,0.0263873,0.0263951
0.92,157487,157485,0.024869,0.0248769
0.925,157790,157788,0.0233445,0.0233525
0.93,158073,158072,0.0218143,0.0218224
0.935,158338,158336,0.0202787,0.0202869
0.94,158583,158582,0.0187381,0.0187464
0.945,158809,158808,0.0171929,0.0172013
0.95,159015,159014,0.0156434,0.0156519
0.955,159202,159201,0.0140901,0.0140987
0.96,159369,159368,0.0125333,0.012542
0.965,159517,159516,0.0109734,0.0109822
0.97,159645,159644,0.00941083,0.00941964
0.975,159753,159753,0.00784591,0.0078548
0.98,159842,159842,0.00627905,0.00628802
0.985,159911,159911,0.00471065,0.00471969
0.99,159961,159960,0.00314108,0.0031502
0.995,159990,159990,0.00157073,0.00157993
