Cycle,NumberOfFlips,Temperature,SystemEnergy,MeanEnergy,HeatCapacity,MagneticSusceptibility,Magnetization_Abs
52901,0,1.00,-800.,-1.9963076,0.12774858,0.25013142,0.99793425
53001,0,1.00,-792.,-1.9963123,0.12752926,0.24966289,0.99793759
53101,0,1.00,-800.,-1.9963148,0.12732216,0.24919632,0.99794034
53201,0,1.00,-800.,-1.9963183,0.12711615,0.24873178,0.99794337
53301,0,1.00,-800.,-1.9963222,0.12690300,0.24826856,0.99794647
53401,0,1.00,-800.,-1.9963276,0.12668306,0.24780693,0.99794994
53501,0,1.00,-800.,-1.9963294,0.12648414,0.24734774,0.99795247
53601,0,1.00,-800.,-1.9963325,0.12628308,0.24689011,0.99795536
53701,2,1.00,-800.,-1.9963327,0.12612766,0.24643632,0.99795749
53801,0,1.00,-800.,-1.9963320,0.12595873,0.24598316,0.99795942
53901,1,1.00,-800.,-1.9963344,0.12575758,0.24553030,0.99796210
54001,0,1.00,-800.,-1.9963354,0.12557041,0.24508039,0.99796430
54101,0,1.00,-800.,-1.9963357,0.12539212,0.24463217,0.99796640
54201,0,1.00,-800.,-1.9963421,0.12517254,0.24418391,0.99797006
54301,0,1.00,-800.,-1.9963432,0.12498305,0.24373818,0.99797232
54401,0,1.00,-800.,-1.9963449,0.12480082,0.24329515,0.99797467
54501,0,1.00,-800.,-1.9963456,0.12461458,0.24285272,0.99797683
54601,0,1.00,-800.,-1.9963477,0.12442743,0.24241212,0.99797934
54701,0,1.00,-800.,-1.9963485,0.12425112,0.24197324,0.99798157
54801,1,1.00,-800.,-1.9963501,0.12406591,0.24153552,0.99798398
54901,0,1.00,-800.,-1.9963553,0.12385703,0.24109867,0.99798729
55001,0,1.00,-800.,-1.9963586,0.12365814,0.24066358,0.99799013
55101,0,1.00,-800.,-1.9963592,0.12348179,0.24023107,0.99799223
55201,0,1.00,-800.,-1.9963611,0.12329746,0.23979962,0.99799469
55301,0,1.00,-800.,-1.9963663,0.12309143,0.23936904,0.99799796
55401,0,1.00,-800.,-1.9963717,0.12288428,0.23893998,0.99800130
55501,1,1.00,-792.,-1.9963747,0.12269073,0.23851270,0.99800400
55601,0,1.00,-800.,-1.9963754,0.12250887,0.23808717,0.99800615
55701,0,1.00,-800.,-1.9963791,0.12231732,0.23766363,0.99800892
55801,1,1.00,-792.,-1.9963775,0.12215082,0.23724176,0.99801043
