x,computed,exact,rel_error,log10(error)
0.771,0.229355,0.228587,0.00335949,-2.47373
0.772,0.22836,0.227591,0.00337861,-2.47126
0.773,0.227366,0.226596,0.0033979,-2.46879
0.774,0.226371,0.2256,0.00341736,-2.46631
0.775,0.225376,0.224604,0.00343699,-2.46382
0.776,0.224382,0.223609,0.00345679,-2.46133
0.777,0.223387,0.222613,0.00347678,-2.45882
0.778,0.222392,0.221617,0.00349694,-2.45631
0.779,0.221398,0.220622,0.00351729,-2.45379
0.78,0.220403,0.219626,0.00353782,-2.45126
0.781,0.219408,0.21863,0.00355854,-2.44873
0.782,0.218413,0.217634,0.00357945,-2.44618
0.783,0.217418,0.216638,0.00360056,-2.44363
0.784,0.216423,0.215642,0.00362186,-2.44107
0.785,0.215428,0.214646,0.00364335,-2.4385
0.786,0.214433,0.21365,0.00366505,-2.43592
0.787,0.213438,0.212654,0.00368695,-2.43333
0.788,0.212443,0.211658,0.00370906,-2.43074
0.789,0.211447,0.210661,0.00373138,-2.42813
0.79,0.210452,0.209665,0.00375391,-2.42552
0.791,0.209457,0.208669,0.00377666,-2.42289
0.792,0.208462,0.207673,0.00379963,-2.42026
0.793,0.207466,0.206676,0.00382282,-2.41762
0.794,0.206471,0.20568,0.00384623,-2.41496
0.795,0.205476,0.204683,0.00386987,-2.4123
0.796,0.20448,0.203687,0.00389375,-2.40963
0.797,0.203485,0.202691,0.00391786,-2.40695
0.798,0.202489,0.201694,0.00394221,-2.40426
0.799,0.201494,0.200697,0.0039668,-2.40156
0.8,0.200498,0.199701,0.00399163,-2.39885
0.801,0.199502,0.198704,0.00401672,-2.39613
0.802,0.198507,0.197708,0.00404206,-2.3934
0.803,0.197511,0.196711,0.00406766,-2.39066
0.804,0.196515,0.195714,0.00409352,-2.3879
0.805,0.19552,0.194717,0.00411964,-2.38514
0.806,0.194524,0.193721,0.00414604,-2.38237
0.807,0.193528,0.192724,0.00417271,-2.37958
0.808,0.192532,0.191727,0.00419965,-2.37679
0.809,0.191536,0.19073,0.00422688,-2.37398
0.81,0.19054,0.189733,0.0042544,-2.37116
0.811,0.189545,0.188736,0.0042822,-2.36833
0.812,0.188549,0.187739,0.00431031,-2.36549
0.813,0.187553,0.186742,0.00433871,-2.36264
0.814,0.186557,0.185745,0.00436742,-2.35977
0.815,0.185561,0.184748,0.00439644,-2.3569
0.816,0.184564,0.183751,0.00442578,-2.35401
0.817,0.183568,0.182754,0.00445543,-2.35111
0.818,0.182572,0.181757,0.00448541,-2.3482
0.819,0.181576,0.18076,0.00451573,-2.34527
0.82,0.18058,0.179763,0.00454638,-2.34233
0.821,0.179584,0.178765,0.00457737,-2.33938
0.822,0.178587,0.177768,0.00460871,-2.33642
0.823,0.177591,0.176771,0.00464041,-2.33344
0.824,0.176595,0.175774,0.00467247,-2.33045
0.825,0.175598,0.174776,0.00470489,-2.32745
0.826,0.174602,0.173779,0.00473769,-2.32443
0.827,0.173606,0.172781,0.00477086,-2.3214
