x,computed,exact,rel_error,log10(error)
0.0198,0.159831,0.159831,8.33297e-08,-7.0792
0.0199,0.160551,0.160551,8.33297e-08,-7.0792
0.02,0.16127,0.16127,8.33297e-08,-7.0792
0.0201,0.161988,0.161988,8.33297e-08,-7.0792
0.0202,0.162706,0.162706,8.33297e-08,-7.0792
0.0203,0.163423,0.163423,8.33297e-08,-7.0792
0.0204,0.164139,0.164139,8.33297e-08,-7.0792
0.0205,0.164854,0.164854,8.33297e-08,-7.0792
0.0206,0.165568,0.165568,8.33296e-08,-7.0792
0.0207,0.166281,0.166281,8.33296e-08,-7.0792
0.0208,0.166994,0.166994,8.33296e-08,-7.0792
0.0209,0.167706,0.167706,8.33296e-08,-7.0792
0.021,0.168417,0.168417,8.33296e-08,-7.0792
0.0211,0.169127,0.169127,8.33296e-08,-7.0792
0.0212,0.169836,0.169836,8.33296e-08,-7.0792
0.0213,0.170545,0.170545,8.33296e-08,-7.0792
0.0214,0.171253,0.171253,8.33296e-08,-7.0792
0.0215,0.17196,0.17196,8.33296e-08,-7.0792
0.0216,0.172666,0.172666,8.33296e-08,-7.0792
0.0217,0.173371,0.173371,8.33296e-08,-7.0792
0.0218,0.174076,0.174076,8.33296e-08,-7.0792
0.0219,0.174779,0.174779,8.33296e-08,-7.0792
0.022,0.175482,0.175482,8.33296e-08,-7.0792
0.0221,0.176184,0.176184,8.33296e-08,-7.0792
0.0222,0.176886,0.176886,8.33296e-08,-7.0792
0.0223,0.177586,0.177586,8.33296e-08,-7.0792
0.0224,0.178286,0.178286,8.33296e-08,-7.0792
0.0225,0.178985,0.178985,8.33296e-08,-7.0792
0.0226,0.179683,0.179683,8.33296e-08,-7.0792
0.0227,0.18038,0.18038,8.33296e-08,-7.0792
0.0228,0.181077,0.181077,8.33296e-08,-7.0792
0.0229,0.181772,0.181773,8.33296e-08,-7.0792
0.023,0.182467,0.182467,8.33296e-08,-7.0792
0.0231,0.183162,0.183162,8.33296e-08,-7.0792
0.0232,0.183855,0.183855,8.33296e-08,-7.0792
0.0233,0.184547,0.184547,8.33296e-08,-7.0792
0.0234,0.185239,0.185239,8.33296e-08,-7.0792
0.0235,0.18593,0.18593,8.33296e-08,-7.0792
0.0236,0.18662,0.18662,8.33296e-08,-7.0792
0.0237,0.18731,0.18731,8.33296e-08,-7.0792
0.0238,0.187998,0.187998,8.33296e-08,-7.0792
0.0239,0.188686,0.188686,8.33296e-08,-7.0792
0.024,0.189373,0.189373,8.33296e-08,-7.0792
0.0241,0.190059,0.190059,8.33296e-08,-7.0792
0.0242,0.190745,0.190745,8.33296e-08,-7.0792
0.0243,0.19143,0.19143,8.33296e-08,-7.0792
0.0244,0.192113,0.192113,8.33296e-08,-7.0792
0.0245,0.192797,0.192797,8.33296e-08,-7.0792
0.0246,0.193479,0.193479,8.33296e-08,-7.0792
0.0247,0.19416,0.19416,8.33296e-08,-7.0792
